paper,yield_pct,reaction_class,solvent,reactor_type,paper_doi,paper_year,tR_step,tR1_s,tR2_s,T1_C,T2_C,substrate1,organolithium_reagent,intermediate,substrate2_electrophile,electrophile_type,product_final,conc_substrate_M,conc_orgLi_M,equiv_orgLi,conc_electrophile_M,substrate1_smiles,organolithium_smiles,intermediate_smiles,substrate2_smiles,product_smiles
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,46,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,3.16,,-60,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,22,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,10.0,,-60,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,26,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.01,,-70,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,29,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0316,,-70,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,41,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.1,,-70,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,49,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.316,,-70,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,68,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.0,,-70,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,80,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,3.16,,-70,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,74,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,10.0,,-70,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,19,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.01,,-78,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,14,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0316,,-78,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,17,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.1,,-78,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,27,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.316,,-78,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,36,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.0,,-78,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,52,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,3.16,,-78,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,76,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,10.0,,-78,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,31.6,,-50,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,9,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,31.6,,-60,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,60,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,31.6,,-70,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,81,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,31.6,,-78,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,58,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.01,,-50,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,17,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0316,,-50,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.1,,-50,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.316,,-50,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.0,,-50,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,80,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.01,,-60,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,59,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0316,,-60,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,10,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.1,,-60,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.316,,-60,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.0,,-60,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,3.16,,-60,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,81,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.01,,-70,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,75,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0316,,-70,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,55,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.1,,-70,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,36,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.316,,-70,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,14,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.0,,-70,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,5,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,3.16,,-70,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,76,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.01,,-78,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,72,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0316,,-78,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,68,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.1,,-78,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,71,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.316,,-78,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,65,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.0,,-78,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,43,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,3.16,,-78,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,9,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,10.0,,-70,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,23,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,10.0,,-78,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,4,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,31.6,,-78,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,31.6,,-70,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,31.6,,-60,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,31.6,,-50,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,75,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.01,,-50,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,85,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0316,,-50,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,58,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.1,,-50,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,37,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.316,,-50,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,33,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.0,,-50,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,14,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,3.16,,-50,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,10.0,,-50,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,31.6,,-50,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,74,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.01,,-60,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,88,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0316,,-60,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,
