paper,yield_pct,reaction_class,solvent,reactor_type,paper_doi,paper_year,tR_step,tR1_s,tR2_s,T1_C,T2_C,substrate1,organolithium_reagent,intermediate,substrate2_electrophile,electrophile_type,product_final,conc_substrate_M,conc_orgLi_M,equiv_orgLi,conc_electrophile_M,substrate1_smiles,organolithium_smiles,intermediate_smiles,substrate2_smiles,product_smiles,vlm_tR1_s_original,vlm_tR2_s_original,yield_yolo,data_note
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,74.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.3091,,-60.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.316,,74.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,71.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.6689,,-60.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,1.0,,71.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,46.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.3122,,-60.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,3.16,,46.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,22.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,2.5513,,-60.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,10.0,,22.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,26.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0099,,-70.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.01,,26.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,29.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0385,,-70.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.0316,,29.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,41.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.164,,-70.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.1,,41.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,49.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.3091,,-70.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.316,,49.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,68.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.6689,,-70.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,1.0,,68.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,80.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.3122,,-70.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,3.16,,80.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,74.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,2.5513,,-70.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,10.0,,74.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,19.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0099,,-78.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.01,,19.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,14.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0385,,-78.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.0316,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,17.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.164,,-78.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.1,,17.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,27.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.3091,,-78.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,0.316,,27.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,36.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.6689,,-78.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,1.0,,36.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,52.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.3122,,-78.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,3.16,,52.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,76.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,2.5513,,-78.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,10.0,,76.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,5.9611,,-50.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,31.6,,0.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,9.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,5.9611,,-60.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,31.6,,9.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,60.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,5.9611,,-70.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,31.6,,60.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,81.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,5.9611,,-78.0,,dihalobenzene (benzyne precursor),PhLi,aryllithium (via carbolithiation of benzyne),,synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,,,,31.6,,81.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,58.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0099,,-50.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.01,,58.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,17.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0385,,-50.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.0316,,17.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.164,,-50.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.1,,0.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.3091,,-50.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.316,,0.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.6689,,-50.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,1.0,,0.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,80.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0099,,-60.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.01,,80.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,59.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0385,,-60.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.0316,,59.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,10.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.164,,-60.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.1,,10.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.3091,,-60.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.316,,0.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.6689,,-60.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,1.0,,0.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.3122,,-60.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,3.16,,0.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,81.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0099,,-70.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.01,,81.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,75.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0385,,-70.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.0316,,75.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,55.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.164,,-70.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.1,,55.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,36.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.3091,,-70.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.316,,36.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,14.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.6689,,-70.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,1.0,,14.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,5.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.3122,,-70.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,3.16,,5.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,76.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0099,,-78.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.01,,76.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,72.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0385,,-78.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.0316,,72.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,68.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.164,,-78.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.1,,68.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,71.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.3091,,-78.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,0.316,,71.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,65.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.6689,,-78.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,1.0,,65.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,43.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,1.3122,,-78.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,3.16,,43.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,9.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,2.5513,,-70.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,10.0,,9.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,23.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,2.5513,,-78.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,10.0,,23.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,4.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,5.9611,,-78.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,31.6,,,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,5.9611,,-70.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,31.6,,0.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,5.9611,,-60.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,31.6,,0.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,0.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,5.9611,,-50.0,,"1,2-diiodobenzene",PhLi,"(I, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Ic1ccccc1I,[Li]c1ccccc1,Ic1ccccc1[Li],O=Cc1ccccc1,,31.6,,0.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,75.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0099,,-50.0,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,,0.01,,75.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,85.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.0385,,-50.0,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,,0.0316,,85.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,58.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.164,,-50.0,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,,0.1,,58.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,37.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.3091,,-50.0,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,,0.316,,37.0,
three-component-coupling-based-on-flash-chemistry-carbolithiation-of-benzyne-with-functionalized-aryllithiums-followed,33.0,C-C coupling,,,10.1021/ja5071762,2014.0,tR1,0.6689,,-50.0,,2-bromoiodobenzene,PhLi,"(Br, Li substituents on benzene ring)",PhCHO (benzaldehyde),synthetic,alcohol product,,,,,Brc1ccccc1I,[Li]c1ccccc1,Brc1ccccc1[Li],O=Cc1ccccc1,,1.0,,33.0,
