paper,paper_doi,source,entry_number,reactant1_name,reactant1_smiles,reactant2_name,reactant2_smiles,product_name,product_smiles,product_label,yield_pct,yield_type,conversion_pct,selectivity_pct,ee_pct,stoichiometry,reaction_class,temperature_C,residence_time_s,solvent,reactor_type,catalyst,notes
Nagaki et al. 2010 - Cross-coupling in a flow microreactor - space integration of lithiation and Murahashi coupling,10.1002/anie.201002763,Table 2,8,,COc1c(Br)ccc1,,c1ccccc1Br,,COc1c(-c2ccccc2)ccc1,,87.0,isolated,,,,,C-C coupling,50.0,94.0,tetrahydrofuran,flow microreactor,PEPPSI-SIPr,Ar1Br = o-bromoanisole; Ar2X = bromobenzene.
Nagaki et al. 2010 - Cross-coupling in a flow microreactor - space integration of lithiation and Murahashi coupling,10.1002/anie.201002763,Table 2,9,,c1cc(Br)cc(C)c1,,c1ccccc1Br,,c1cc(-c2ccccc2)cc(C)c1,,80.0,GC,,,,,C-C coupling,50.0,94.0,tetrahydrofuran,flow microreactor,PEPPSI-SIPr,Ar1Br = p-bromotoluene; Ar2X = bromobenzene; solvent changed to CPME with TMEDA co-solvent.
"Nagaki et al. 2012 - Lithiation of 1,2-dichloroethene in flow microreact ... le synthesis of alkenes and alkynes by precise residence-time control",10.1002/anie.201108932,Table 1,E1: PhCHO,"trans-1,2-dichloroethene",,nBuLi,,"(E)-2,3-dichloro-1-phenylprop-2-en-1-ol",,1a,81.0,isolated,,,,nBuLi (1.05 equiv),nucleophilic addition,-78.0,,tetrahydrofuran,microreactor,,"Batch reaction at 0°C gave no 1a; optimized flow conditions for this entry are T1 = 0°C, tR1 = 0.055 s, T2 = -78°C, tR3 = 4.6 s — but yield reported is from batch at -78°C (81%) per Supporting Information; Table 1 caption states T1=0°C, tR1=0.055 s, T2=-78°C, tR3=4.6 s for all entries, yet this specific entry (1a) is explicitly stated to be obtained in 81% yield at -78°C in batch — so batch_yield_pct = 0 reflects absence of flow yield for this exact condition set in Table 1; the 81% is batch, not flow."
"Nagaki et al. 2012 - Lithiation of 1,2-dichloroethene in flow microreact ... le synthesis of alkenes and alkynes by precise residence-time control",10.1002/anie.201108932,Table 2,E1: PhCHO E2: Me3SiOTf,"trans-1,2-dichloroethene",,nBuLi,,"2,3-dichloro-3-trimethylsilyl-1-phenyl-prop-(2E)-en-1-ol",,3ab,73.0,isolated,,,,,nucleophilic addition,0.0,0.055,tetrahydrofuran,microreactor,,"Conditions: T1 = 0°C, tR1 = 0.055 s, T2 = -78°C, tR3 = 4.6 s (per Table 2 footnote [a]). Product formed via sequential electrophile addition: first benzaldehyde, then Me3SiOTf."
"Nagaki et al. 2012 - Lithiation of 1,2-dichloroethene in flow microreact ... le synthesis of alkenes and alkynes by precise residence-time control",10.1002/anie.201108932,Table 2,E1: PhCHO E2: Bu3SnCl,"trans-1,2-dichloroethene",,nBuLi,,"2,3-dichloro-3-(tributylstannyl)-1-phenyl-prop-(2E)-en-1-ol",,3ac,85.0,isolated,,,,,nucleophilic addition,0.0,0.055,tetrahydrofuran,microreactor,,"Conditions: T1 = 0°C, tR1 = 0.055 s, T2 = -78°C, tR3 = 4.6 s (per Table 2 footnote [a])."
"Nagaki et al. 2012 - Lithiation of 1,2-dichloroethene in flow microreact ... le synthesis of alkenes and alkynes by precise residence-time control",10.1002/anie.201108932,Table 2,E1: PhCHO E2: Me2SiHCl,"trans-1,2-dichloroethene",,nBuLi,,"2,3-dichloro-3-(dimethylchlorosilyl)-1-phenyl-prop-(2E)-en-1-ol",,3ad,62.0,isolated,,,,,nucleophilic addition,0.0,0.055,tetrahydrofuran,microreactor,,"Conditions: T1 = 0°C, tR1 = 0.055 s, T2 = -78°C, tR3 = 4.6 s (per Table 2 footnote [a])."
"Nagaki et al. 2012 - Lithiation of 1,2-dichloroethene in flow microreact ... le synthesis of alkenes and alkynes by precise residence-time control",10.1002/anie.201108932,Table 1,E1: PhNCO,"trans-1,2-dichloroethene",,nBuLi,,"N-(1,2-dichlorovinyl)benzamide",,1d,,,,,,,nucleophilic addition,0.0,0.055,tetrahydrofuran,microreactor,,Entry 'E1: PhNCO' in Table 1 has no yield reported — cell is empty in source text. No yield value to extract.
"Nagaki et al. 2012 - Lithiation of 1,2-dichloroethene in flow microreact ... le synthesis of alkenes and alkynes by precise residence-time control",10.1002/anie.201108932,Table 3,E1: PhCHO E2: PhCHO,"trans-1,2-dichloroethene",,nBuLi,,asymmetric disubstituted alkyne,,4aa,,isolated,,,,,nucleophilic addition,,,tetrahydrofuran,microreactor,,"No yield reported for 4aa in Table 3 — cell is empty. Yield type is 'isolated' per footnote [a], but value missing."
"Nagaki et al. 2012 - Lithiation of 1,2-dichloroethene in flow microreact ... le synthesis of alkenes and alkynes by precise residence-time control",10.1002/anie.201108932,Table 3,E1: PhCHO E2: Me3SiOTf,"trans-1,2-dichloroethene",,nBuLi,,asymmetric disubstituted alkyne,,4ab,66.0,GC,,,,,nucleophilic addition,,,tetrahydrofuran,microreactor,,"Yield 66% (78% in parentheses) — per footnote [b], 'Determined by GC analysis with an internal standard', so yield_pct = 66.0, yield_type = 'GC'."
"Nagaki et al. 2012 - Lithiation of 1,2-dichloroethene in flow microreact ... le synthesis of alkenes and alkynes by precise residence-time control",10.1002/anie.201108932,Table 3,E1: PhCHO E2: Bu3SnCl,"trans-1,2-dichloroethene",,nBuLi,,asymmetric disubstituted alkyne,,4ac,28.0,NMR,,,,,nucleophilic addition,,,tetrahydrofuran,microreactor,,"Yield 28% (48% in parentheses) — per footnote [c], 'Determined by 1H NMR analysis with an internal standard', so yield_pct = 28.0, yield_type = 'NMR'."
"Nagaki et al. 2012 - Lithiation of 1,2-dichloroethene in flow microreact ... le synthesis of alkenes and alkynes by precise residence-time control",10.1002/anie.201108932,Table 3,E1: PhCHO E2: Me2SiHCl,"trans-1,2-dichloroethene",,nBuLi,,asymmetric disubstituted alkyne,,4ad,73.0,GC,,,,,nucleophilic addition,,,tetrahydrofuran,microreactor,,"Yield 73% (77% in parentheses) — per footnote [b], 'Determined by GC analysis with an internal standard', so yield_pct = 73.0, yield_type = 'GC'."
Wu et al. 2014 - Continuous flow synthesis of ketones from carbon dioxide and organolithium or Grignard reagents,10.1002/anie.201405014,Table 1,1,,,,,,,,,,,,,massive dry ice,nucleophilic addition,-78.0,,diethyl ether,batch,,Batch reaction using massive dry ice as CO2 source; solvent is diethyl ether (0.1 M) per table note [b].
Wu et al. 2014 - Continuous flow synthesis of ketones from carbon dioxide and organolithium or Grignard reagents,10.1002/anie.201405014,Table 1,2,,,,,,,,,,,,,bubbled gas,nucleophilic addition,,,diethyl ether,batch,,Batch reaction with bubbled CO2 gas; solvent is diethyl ether (0.1 M) per table note [b].
Wu et al. 2014 - Continuous flow synthesis of ketones from carbon dioxide and organolithium or Grignard reagents,10.1002/anie.201405014,Table 1,4,,,,,,,,19.0,NMR,,,,ca. 1 equiv,nucleophilic addition,25.0,,diethyl ether,continuous flow reactor,,Flow reaction with ca. 1 equiv CO2 at ambient temperature; yield based on crude 1H NMR with trichloroethylene standard.
Wu et al. 2014 - Continuous flow synthesis of ketones from carbon dioxide and organolithium or Grignard reagents,10.1002/anie.201405014,Table 1,5,,,,,,,,,NMR,,,,ca. 3 equiv,nucleophilic addition,25.0,,diethyl ether,continuous flow reactor,,Flow reaction with ca. 3 equiv CO2 at ambient temperature; yield based on crude 1H NMR with trichloroethylene standard.
Wu et al. 2014 - Continuous flow synthesis of ketones from carbon dioxide and organolithium or Grignard reagents,10.1002/anie.201405014,Table 4,,Cc1cc(C(F)(F)F)ccc1Br,,,,,,,,,,,,1.05 equiv,nucleophilic addition,-78.0,,diethyl ether,T-shaped micromixer + capillary reactor,,Telescoped three-step flow synthesis starting from aryl bromide; organometallic compound is nBuLi (1.05 equiv); CO2 (1.05 equiv).
Wu et al. 2014 - Continuous flow synthesis of ketones from carbon dioxide and organolithium or Grignard reagents,10.1002/anie.201405014,Table 4,,*c1cc2ccccc2[nH]1,,,,,,,,,,,,1.05 equiv,nucleophilic addition,-78.0,,diethyl ether,T-shaped micromixer + capillary reactor,,Telescoped three-step flow synthesis starting from heteroaryl halide; organometallic compound is nBuLi (1.05 equiv); CO2 (1.05 equiv).
Wu et al. 2014 - Continuous flow synthesis of ketones from carbon dioxide and organolithium or Grignard reagents,10.1002/anie.201405014,Table 4,,FC(F)(F)c1ccc(I)cc1,,,,,,,,,,,,1.05 equiv,nucleophilic addition,-78.0,,diethyl ether,T-shaped micromixer + capillary reactor,,Telescoped three-step flow synthesis starting from aryl iodide; organometallic compound is iPrMgCl·LiCl (1.05 equiv); CO2 (1.05 equiv).
Wu et al. 2014 - Continuous flow synthesis of ketones from carbon dioxide and organolithium or Grignard reagents,10.1002/anie.201405014,page_4_table_1_extracted.csv,,,,,,,CCCCC(=O)C1CCCCCC1,,,,,,,,nucleophilic addition,25.0,600.0,tetrahydrofuran,"PFA tubing reactor coil (0.4 mL, ID 0.04'') followed by second PFA loop (6 mL, ID 0.062'')",,"Product from Grignard/CO2/organolithium sequence; THF used for first organometallic, Et2O for second; quenching at 0°C."
Kim et al. 2015 - Integrated one-flow synthesis of heterocyclic thioquin ... es through serial microreactions with two organolithium intermediates,10.1002/anie.201410062,Table 1,1,o-bromophenyl isothiocyanate,,nBuLi,,o-lithiophenyl isothiocyanate (MeOH quenched),,1a derivative,,isolated,,,,,halogen-metal exchange,0.0,6.2,tetrahydrofuran,microreactor,,Br-Li exchange followed by MeOH quench; yield decreased with increasing reaction time
Kim et al. 2015 - Integrated one-flow synthesis of heterocyclic thioquin ... es through serial microreactions with two organolithium intermediates,10.1002/anie.201410062,Table 1,2,o-bromophenyl isothiocyanate,,nBuLi,,o-lithiophenyl isothiocyanate (MeOH quenched),,1a derivative,,isolated,,,,,halogen-metal exchange,0.0,1.8,tetrahydrofuran,microreactor,,Br-Li exchange followed by MeOH quench; yield decreased with increasing reaction time
Kim et al. 2015 - Integrated one-flow synthesis of heterocyclic thioquin ... es through serial microreactions with two organolithium intermediates,10.1002/anie.201410062,Table 1,3,o-bromophenyl isothiocyanate,,nBuLi,,o-lithiophenyl isothiocyanate (MeOH quenched),,1a derivative,,isolated,,,,,halogen-metal exchange,0.0,0.25,tetrahydrofuran,microreactor,,Br-Li exchange followed by MeOH quench; yield decreased with increasing reaction time
Kim et al. 2015 - Integrated one-flow synthesis of heterocyclic thioquin ... es through serial microreactions with two organolithium intermediates,10.1002/anie.201410062,Table 1,4,o-bromophenyl isothiocyanate,,nBuLi,,o-lithiophenyl isothiocyanate (MeOH quenched),,1a derivative,90.0,isolated,,,,,halogen-metal exchange,0.0,0.016,tetrahydrofuran,microreactor,,Optimized condition at 16 ms; good performance achieved
Kim et al. 2015 - Integrated one-flow synthesis of heterocyclic thioquin ... es through serial microreactions with two organolithium intermediates,10.1002/anie.201410062,Table 1,5,o-bromophenyl isothiocyanate,,nBuLi,,o-lithiophenyl isothiocyanate (MeOH quenched),,1a derivative,,isolated,,,,,halogen-metal exchange,25.0,6.2,tetrahydrofuran,microreactor,,Br-Li exchange followed by MeOH quench at room temperature; yield decreased with increasing reaction time
Kim et al. 2015 - Integrated one-flow synthesis of heterocyclic thioquin ... es through serial microreactions with two organolithium intermediates,10.1002/anie.201410062,Table 1,6,o-bromophenyl isothiocyanate,,nBuLi,,o-lithiophenyl isothiocyanate (MeOH quenched),,1a derivative,,isolated,,,,,halogen-metal exchange,25.0,1.8,tetrahydrofuran,microreactor,,Br-Li exchange followed by MeOH quench at room temperature; yield decreased with increasing reaction time
Kim et al. 2015 - Integrated one-flow synthesis of heterocyclic thioquin ... es through serial microreactions with two organolithium intermediates,10.1002/anie.201410062,Table 1,7,o-bromophenyl isothiocyanate,,nBuLi,,o-lithiophenyl isothiocyanate (MeOH quenched),,1a derivative,,isolated,,,,,halogen-metal exchange,25.0,0.25,tetrahydrofuran,microreactor,,Br-Li exchange followed by MeOH quench at room temperature; yield decreased with increasing reaction time
Kim et al. 2015 - Integrated one-flow synthesis of heterocyclic thioquin ... es through serial microreactions with two organolithium intermediates,10.1002/anie.201410062,Table 1,8,o-bromophenyl isothiocyanate,,nBuLi,,o-lithiophenyl isothiocyanate (MeOH quenched),,1a derivative,91.0,isolated,,,,,halogen-metal exchange,25.0,0.016,tetrahydrofuran,microreactor,,Optimized condition at 16 ms and 25°C; good performance achieved
Kim et al. 2015 - Integrated one-flow synthesis of heterocyclic thioquin ... es through serial microreactions with two organolithium intermediates,10.1002/anie.201410062,Table 2,9,o-bromophenyl isothiocyanate,,nBuLi,,thioquinazolinone,,2b,86.0,isolated,,,,,anionic cyclization,25.0,3.0,tetrahydrofuran,microreactor,,Reaction with phenyl isocyanate; intramolecular cyclization in two-step integrated microflow synthesis
Kim et al. 2015 - Integrated one-flow synthesis of heterocyclic thioquin ... es through serial microreactions with two organolithium intermediates,10.1002/anie.201410062,Table 2,10,o-bromophenyl isothiocyanate,,nBuLi,,benzooxazine,,,75.0,isolated,,,,,nucleophilic addition,25.0,,tetrahydrofuran,microreactor,,Reaction with 4-nitrobenzaldehyde; slightly lower yield due to strong electron-withdrawing effect of nitro group
Kim et al. 2015 - Integrated one-flow synthesis of heterocyclic thioquin ... es through serial microreactions with two organolithium intermediates,10.1002/anie.201410062,Table 2,11,o-bromophenyl isothiocyanate,,nBuLi,,thioquinazolinone derivative,,,90.0,isolated,,,,,nucleophilic addition,25.0,,tetrahydrofuran,microreactor,,Reaction with ethyl chloroformate (EtO2CCl); high yield in range 90-96%
Kim et al. 2015 - Integrated one-flow synthesis of heterocyclic thioquin ... es through serial microreactions with two organolithium intermediates,10.1002/anie.201410062,Table 2,12,o-bromophenyl isothiocyanate,,nBuLi,,thioquinazolinone derivative,,,93.0,isolated,,,,,nucleophilic addition,25.0,,tetrahydrofuran,microreactor,,Reaction with chlorotrimethylsilane (Me3SiCl); high yield in range 90-96%
Kim et al. 2015 - Integrated one-flow synthesis of heterocyclic thioquin ... es through serial microreactions with two organolithium intermediates,10.1002/anie.201410062,Table 2,13,o-bromophenyl isothiocyanate,,nBuLi,,thioquinazolinone derivative,,,96.0,isolated,,,,,nucleophilic addition,25.0,,tetrahydrofuran,microreactor,,Reaction with tributyltin chloride (Bu3SnCl); high yield in range 90-96%
Nagaki et al. 2016 - Generation and reaction of carbamoyl anions in flow ... tions in the three-component synthesis of functionalized α-ketoamides,10.1002/anie.201601386,Table 1,LiNp added to carbamoyl chloride,"N,N-bis(p-methoxybenzyl)carbamoyl chloride",,lithium naphthalenide,,"methyl N,N-bis(p-methoxybenzyl)carbamate",,1,,,,,,,nucleophilic addition,,,,,,Batch reaction with LiNp added to carbamoyl chloride; product 1 not detected (n.d.).
Nagaki et al. 2016 - Generation and reaction of carbamoyl anions in flow ... tions in the three-component synthesis of functionalized α-ketoamides,10.1002/anie.201601386,Table 2,1,"N,N-bis(p-methoxybenzyl)carbamoyl chloride",,lithium naphthalenide,,"methyl N,N-bis(p-methoxybenzyl)carbamate",,1,22.5,GC,,,,,nucleophilic addition,-78.0,,tetrahydrofuran,T-shaped micromixer + capillary reactor,,"Flow microreactor run 1: low flow rate, low yield of 1."
Nagaki et al. 2016 - Generation and reaction of carbamoyl anions in flow ... tions in the three-component synthesis of functionalized α-ketoamides,10.1002/anie.201601386,Table 2,1,"N,N-bis(p-methoxybenzyl)carbamoyl chloride",,lithium naphthalenide,,Wurtz-type coupling product,,2,,HPLC,,,,,nucleophilic addition,-78.0,,tetrahydrofuran,T-shaped micromixer + capillary reactor,,Flow microreactor run 1: yield of 2 determined by HPLC.
Nagaki et al. 2016 - Generation and reaction of carbamoyl anions in flow ... tions in the three-component synthesis of functionalized α-ketoamides,10.1002/anie.201601386,Table 2,1,"N,N-bis(p-methoxybenzyl)carbamoyl chloride",,lithium naphthalenide,,methyl carbamate,,4,31.5,GC,,,,,nucleophilic addition,-78.0,,tetrahydrofuran,T-shaped micromixer + capillary reactor,,Flow microreactor run 1: yield of 4 determined by GC.
"Heijnen et al. 2017 - Oxygen activated, palladium nanoparticle catalyzed, ultrafast cross-coupling of organolithium reagents",10.1002/anie.201700417,Table 2,1,,,,,,,,,,100.0,,,,C-C coupling,25.0,5.0,toluene,T-shaped micromixer + capillary/coil reactor,Pd(PtBu3)2,Reaction of nBuLi with 1-bromonaphthalene; full conversion in 5 s with excess oxygen.
"Heijnen et al. 2017 - Oxygen activated, palladium nanoparticle catalyzed, ultrafast cross-coupling of organolithium reagents",10.1002/anie.201700417,Table 2,2,,,,,,,,,,100.0,,,,C-C coupling,25.0,120.0,toluene,T-shaped micromixer + capillary/coil reactor,Pd(PtBu3)2,
"Heijnen et al. 2017 - Oxygen activated, palladium nanoparticle catalyzed, ultrafast cross-coupling of organolithium reagents",10.1002/anie.201700417,Table 2,3,,,,,,,,,,100.0,,,,C-C coupling,25.0,600.0,toluene,T-shaped micromixer + capillary/coil reactor,Pd(PtBu3)2,"Gram-scale reaction (12 mmol, 2.5 g)."
"Heijnen et al. 2017 - Oxygen activated, palladium nanoparticle catalyzed, ultrafast cross-coupling of organolithium reagents",10.1002/anie.201700417,Table 2,5,,,,,,,,,,100.0,,,,C-C coupling,25.0,1800.0,toluene,T-shaped micromixer + capillary/coil reactor,Pd(PtBu3)2,"Gram-scale reaction (12 mmol, 2.5 g)."
Li et al. 2017 - Flow asymmetric propargylation - Development of continuous processes for the preparation of a chiral β-amino alcohol,10.1002/anie.201704882,Table 1,1,Boc-L-alaninal,,allenylzinc reagent,,homopropargyl β-amino alcohol,,1,,,,,,,nucleophilic addition,,,tetrahydrofuran,,,
Li et al. 2017 - Flow asymmetric propargylation - Development of continuous processes for the preparation of a chiral β-amino alcohol,10.1002/anie.201704882,Table 2,1,Boc-L-alaninal,,allenylzinc reagent,,homopropargyl β-amino alcohol,,1,,,,,,,nucleophilic addition,25.0,,tetrahydrofuran,,,
Li et al. 2017 - Flow asymmetric propargylation - Development of continuous processes for the preparation of a chiral β-amino alcohol,10.1002/anie.201704882,Table 3,1,Boc-L-alaninal,,allenylzinc reagent,,homopropargyl β-amino alcohol,,1,,,,,,,nucleophilic addition,,36.0,tetrahydrofuran,Tee mixer,,
Li et al. 2017 - Flow asymmetric propargylation - Development of continuous processes for the preparation of a chiral β-amino alcohol,10.1002/anie.201704882,Table 3,3,Boc-L-alaninal,,allenylzinc reagent,,homopropargyl β-amino alcohol,,1,,,,,,,nucleophilic addition,,300.0,tetrahydrofuran,CSTR,,
